2026-04-13 17:28:44 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-13 17:28:44 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-13 17:28:44 | INFO    | rok.ConfigManager    | Config watching started: .
2026-04-13 17:28:47 | INFO    | rok.MainWindow       | Main window initialized
2026-04-13 17:28:52 | INFO    | rok.gem_collect_setup | Gem collection is disabled in config
2026-04-13 17:28:52 | INFO    | rok.main             | Engine started
2026-04-13 17:28:52 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:53 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:53 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:54 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:54 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:55 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:55 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:56 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:56 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:57 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:57 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:58 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:28:58 | INFO    | rok.main             | Engine stopped
2026-04-13 17:29:03 | INFO    | rok.gem_collect_setup | Gem collection is disabled in config
2026-04-13 17:29:03 | INFO    | rok.main             | Engine started
2026-04-13 17:29:03 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:03 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:04 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:04 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:05 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:05 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:06 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:06 | INFO    | rok.main             | Engine stopped
2026-04-13 17:29:21 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:29:23 | INFO    | rok.main             | Engine stopped
2026-04-13 17:29:23 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 10:53:17 | INFO    | rok.main             | ============================================================
2026-04-14 10:53:17 | INFO    | rok.main             | 万国觉醒辅助工具 - ROK Assistant v1.0.0
2026-04-14 10:53:18 | INFO    | rok.main             | ============================================================
2026-04-14 10:53:18 | INFO    | rok.main             | Initializing application...
2026-04-14 10:53:18 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:53:18 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-14 10:53:18 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 10:53:18 | INFO    | rok.ConfigManager    | Config watching started: .
2026-04-14 10:53:20 | INFO    | rok.MainWindow       | Main window initialized
2026-04-14 10:54:18 | INFO    | rok.main             | Initializing application...
2026-04-14 10:54:18 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:54:18 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-14 10:54:18 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 10:54:18 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:54:18 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:54:18 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:54:18 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:54:18 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:54:24 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:54:24 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:54:24 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:54:24 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:55:03 | INFO    | rok.main             | Initializing application...
2026-04-14 10:55:03 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:55:03 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-14 10:55:03 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 10:55:03 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:55:03 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:55:03 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:55:03 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:55:03 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to window.found
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to window.lost
2026-04-14 10:55:04 | DEBUG   | rok.EventBus         | Subscribed to detection.completed
2026-04-14 10:55:04 | INFO    | rok.MainWindow       | Main window initialized
2026-04-14 10:55:21 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:55:21 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:55:22 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:55:22 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:55:45 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:55:45 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:55:45 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:55:45 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:56:18 | INFO    | rok.main             | Initializing application...
2026-04-14 10:56:18 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:56:18 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-14 10:56:18 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 10:56:18 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:56:18 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:56:18 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:56:18 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:56:18 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to window.found
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to window.lost
2026-04-14 10:56:20 | DEBUG   | rok.EventBus         | Subscribed to detection.completed
2026-04-14 10:56:20 | INFO    | rok.MainWindow       | Main window initialized
2026-04-14 10:56:33 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:56:33 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:56:34 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:56:34 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:57:07 | INFO    | rok.main             | Initializing application...
2026-04-14 10:57:07 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:57:07 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-14 10:57:07 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 10:57:07 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:57:07 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:57:07 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:57:07 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:57:07 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to engine.started
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to engine.stopped
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to engine.error
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to task.completed
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to task.failed
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to window.found
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to window.lost
2026-04-14 10:57:08 | DEBUG   | rok.EventBus         | Subscribed to detection.completed
2026-04-14 10:57:08 | INFO    | rok.MainWindow       | Main window initialized
2026-04-14 10:57:33 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:57:33 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:57:33 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:57:33 | INFO    | rok.ConfigManager    | Configuration reloaded successfully
2026-04-14 10:57:35 | INFO    | rok.main             | Engine started
2026-04-14 10:57:35 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:36 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:36 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:37 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:37 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:38 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:38 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:39 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:39 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:40 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-14 10:57:40 | INFO    | rok.main             | Engine stopped
2026-04-14 10:57:40 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 10:57:41 | INFO    | rok.main             | Engine stopped
2026-04-14 10:57:41 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 10:57:43 | INFO    | rok.main             | Engine stopped
2026-04-14 10:57:43 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 10:57:47 | INFO    | rok.main             | Engine stopped
2026-04-14 10:57:47 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 10:57:50 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
2026-04-14 10:57:51 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 10:58:09 | INFO    | rok.YOLODetector     | Model loaded: yolov8n.pt, classes: 80, device: cpu
2026-04-14 10:58:10 | INFO    | rok.MainWindow       | Main window initialized
2026-04-14 10:59:20 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 11:01:14 | INFO    | rok.main             | Initializing application...
2026-04-14 11:01:14 | INFO    | rok.ConfigManager    | Config loaded: E:\pyworkspace\todolist\rok_assistant\config.yaml
2026-04-14 11:01:14 | INFO    | rok.main             | Config loaded: E:\pyworkspace\todolist\rok_assistant\config.yaml
2026-04-14 11:01:14 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 11:01:14 | INFO    | rok.MainWindow       | Main window initialized
2026-04-14 11:01:24 | INFO    | rok.main             | Engine stopped
2026-04-14 11:01:24 | INFO    | rok.MainWindow       | Main window closed
2026-04-14 11:10:39 | INFO    | rok.main             | Initializing application...
2026-04-14 11:10:39 | INFO    | rok.ConfigManager    | Config loaded: E:\pyworkspace\todolist\rok_assistant\config_yuanbao.yaml
2026-04-14 11:10:39 | INFO    | rok.main             | Config loaded: E:\pyworkspace\todolist\rok_assistant\config_yuanbao.yaml
2026-04-14 11:10:39 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-14 11:10:39 | INFO    | rok.WindowCapture    | Window found: hwnd=1903900, size=958x1008
